,Date,BLMN,RUTH,RICK,LUB,KRUS,FAT,DS,BBQ,NATH,RAVE,ARKR,BDL,SHAK,WING,BJRI,CBRL,MCD,YUM,QSR,CMG,SBUX,YUMC,WEN,DPZ,JACK,STKS,LIVX
21,1/31/20,20.555767,20.335121,17.689543,2.42,22.52,4.707,3.78,4.11,65.641914,1.59,22.114674,20.628572,67.449997,92.648178,39.605526,150.683304,212.639343,105.298073,60.267544,866.76001,84.43647,42.953308,21.540499,281.089386,81.275124,4.41,1.4
22,2/3/20,20.189583,20.404558,17.809271,2.41,22.959999,4.7,3.56,4.07,64.846252,1.53,21.563284,20.37558,68.239998,92.098907,39.376534,149.904922,213.841812,105.935226,60.020584,867.330017,85.611,43.00317,21.798944,270.115173,81.344719,4.3,1.31
23,2/4/20,20.357828,19.938339,17.609726,2.43,22.940001,4.622,3.59,4.09,66.934868,1.59,21.661747,20.433962,69.849998,93.50705,40.09338,150.417282,213.285294,106.233887,60.939266,884.820007,87.970001,44.189949,22.236317,272.758942,82.259369,4.3,1.45
24,2/5/20,20.714115,20.573191,18.278198,2.31,23.469999,4.462,3.59,4.12,67.332687,1.6,21.41559,20.132318,70.900002,92.927818,41.706272,154.112198,213.03685,106.303574,62.332108,854.01001,87.559998,44.339539,22.146854,277.358154,83.790428,4.3,1.57
25,2/6/20,20.664631,20.841019,17.958927,2.35,22.709999,4.594,3.56,4.18,67.362534,1.58,21.88821,20.249083,73.32,93.187469,42.472897,156.161636,211.546173,103.277138,62.381504,857,86.150002,43.611519,21.769123,278.754852,83.780479,4.59,1.87
26,2/7/20,20.120304,20.384718,18.637377,2.38,22.879999,4.57,3.45,4.07,64.239563,1.62,21.661747,19.9669,73.989998,94.595627,41.686359,156.072952,210.294022,101.584724,63.082863,864.219971,86.419998,42.59428,21.808886,274.864014,84.178162,4.32,1.29
27,2/10/20,20.19948,20.602949,18.946669,2.42,22.77,4.585,3.4,4.14,65.244087,1.62,21.96698,20.239353,74.010002,97.302063,42.194126,158.230774,211.884079,102.411018,64.811562,890.51001,87.529999,42.295094,22.027571,274.205566,85.818573,4.45,1.37
28,2/11/20,20.783394,21.267561,21.999685,2.44,22.77,4.45,3.4,4.09,65.14463,1.6,22.902374,20.044744,72.959999,96.872627,41.815788,158.102692,214.388397,103.585754,65.60183,890.75,87.510002,43.691303,22.345657,275.103455,86.454857,4.41,1.37
29,2/12/20,20.882362,21.475872,23.57608,2.44,22.620001,4.532,3.53,4.1,66.238663,1.59,22.065443,20.677223,73.940002,97.47184,41.308029,159.432861,216.107635,104.869995,65.414139,900.369995,88.57,45.296936,22.743267,280.371063,86.633812,4.51,1.37
30,2/13/20,21.011021,21.366758,25.202362,2.47,22.700001,4.528,3.5,4.15,65.542458,1.55,22.400215,21.290241,74.07,100.108376,40.879913,162.664673,216.067886,105.029999,65.591949,912.950012,89.93,44.88805,22.773088,285.359344,88.323936,4.5,1.46
31,2/14/20,21.317825,21.515551,25.1425,2.56,22.120001,4.57,3.48,4.5,64.448433,1.36,22.400215,21.290241,73.279999,100.038467,41.885483,162.467606,215.739929,105.279999,66.421722,921.940002,89.279999,44.728481,22.773088,290.91629,87.797012,4.47,1.44
32,2/18/20,22.079882,22.180162,25.002817,2.55,22.59,4.5,3.45,4.6,64.150055,1.4,22.449446,21.290241,75.019997,101.496552,42.014915,160.674362,214.805771,104.029999,65.344994,927.559998,89.230003,44.678619,23.071295,295.086487,87.598183,4.46,1.5
33,2/19/20,22.812248,23.201876,25.312113,2.53,23.299999,4.6,3.41,4.84,64.527992,1.4,22.488832,20.725876,76.050003,98.620331,42.910965,160.891113,214.289017,105.190002,65.11779,933.840027,90.139999,45.91526,23.170696,296.403381,88.244408,4.59,1.47
34,2/20/20,22.713282,23.638338,25.741129,2.53,24.73,4.625,3.42,5.11,64.160004,1.37,22.498678,20.035013,76.639999,101.037155,43.518288,164.083511,213.742432,103.870003,65.503044,927.590027,88.599998,45.925232,23.458965,372.285034,87.111031,4.57,1.47
35,2/21/20,23.218019,22.190083,25.461769,2.5,24.309999,4.4,3.42,4.82,65.099998,1.41,22.498678,20.044744,74.800003,99.539124,38.649738,166.320175,214.527512,103.510002,65.068405,920.140015,87.360001,45.74572,23.796932,371.08786,88.82103,4.55,1.45
36,2/24/20,22.693487,20.642628,26.529327,2.48,22.780001,4.4,3.3,4.9,63.330002,1.37,22.459293,20.326927,73.57,97.222168,37.534649,163.590866,212.192139,100.25,63.527382,885,84.519997,43.99049,23.250219,362.158844,86.25602,4.26,1.33
37,2/25/20,21.278236,19.730026,25.252247,2.45,22.59,4.35,3.12,4.79,61.380001,1.32,22.301752,20.326927,63.07,94.13623,36.150749,157.580475,210.780975,97.949997,62.174057,856.01001,82.190002,43.691303,22.822788,367.795593,81.682747,4.25,1.18
38,2/26/20,19.190001,19.095175,24.932978,2.4,21.68,4.176,2.96,4.73,61.98,1.32,22.193445,20.112858,62.810001,89.522293,34.926144,154.092484,208.793411,97.5,60.899757,847.289978,80.669998,43.392113,21.759184,365.810272,78.421791,4.17,1.22
39,2/27/20,18.43,18.341288,21.021923,2.38,20.59,4.01,3.07,4.41,59.740002,1.21,21.642054,19.908516,61.669998,85.257904,31.849693,146.564728,199.75,92.669998,59.358738,755.549988,78.290001,43.631466,19.960001,347.044342,73.450836,3.73,1.2
40,2/28/20,17.99,18.976139,20.104021,2.36,18.610001,4.024,2.86,4.42,59.5,1.25,20.283272,19.937708,59.439999,84.339104,32.805485,141.22435,194.169998,89.25,57.78809,773.580017,78.43,43.671356,18.879999,338.664063,68.459999,3.65,1.26
